autor_data	autor_nome	autor_endereco	autor_titulo	autor_comentario	autor_viagem
10-02-2023	ROGERIO OLIVEIRA	VILA VELHA, ES	ESGOTO	NAO ENTREI NA PRAIA ESTAVA POLUIDA DE ESGOTO  VERGONHA UMA ORLA TAO LINDA E SEUS GOVERNANTES NAO RESOLVEM O TRATAMENTO DE ESGOTO QUE TEM NA PRAIA VERGONHOSO	PRAIA DE IRACEMA - FORTALEZA (CE)
9-02-2023	ANTONIO CEZAR C... C	3 CONTRIBUIÇÕES	BOA E SENSAÇÃO DE UM POUCO DE MEDO	MUITO BOA A PRAIA , UM TANTO QUANTO PERIGOSO DEVIDO A MARGEM DA AREIA COM O ENCONTRO COM O MAR TER SIDO DRAGADA, A ÁGUA PRA BANHAR É MUITO CURTA E AS ONDAS QUEBRAM EM CIMA DE TODOS NA PONTINHA	PRAIA DE IRACEMA - FORTALEZA (CE)
22-01-2023	CINTIACOSTA	TAGUATINGA, DF	NÃO GOSTEI	EU NÃO GOSTEI MUITO DESSA PRAIA. FUI NO HORÁRIO DA MANHÃ. FIQUEI PERTO DO POSTO 3. ACHEI O MAR MEIO BRAVO, MEIO SUJO. FICAMOS NUMA BARRACA COM GUARDA-SOL (É COBRADO 20 REAIS), TOMEI 1 REFRIGERANTE E UMA ÁGUA DE CÔCO. PREÇOS BONS. MAS A PARTE DA COMIDA MUITO CARA. NÃO TEM INFRAESTRUTURA NENHUMA. LOGO NUM SETOR TÃO NOBRE COMO É IRACEMA. O BOM MESMO É QUE É LINDO PARA TIRAR FOTOS, PORQUE POSSUI UMA PASSARELA GIGANTESCA, E É LINDO PARA TIRAR FOTOS. FOI SÓ O QUE GOSTEI.	PRAIA DE IRACEMA - FORTALEZA (CE)
7-01-2023	YGOR PINHEIRO	SALVADOR, BA	PRAIA DE IRACEMA	PRAIA BASTANTE MOVIMENTADA A NOITE, MUITA VARIEDADE DE RESTAURANTES E BARES. RECOMENDO A TODOS QUE VIEREM A IREM DURANTE A NOITE	PRAIA DE IRACEMA - FORTALEZA (CE)
19-12-2022	EDVALDO J	PAULISTA, PE	PASSEIO À NEGÓCIO	SIMPLESMENTE, EXCEPCIONAL... MUITO ORGANIZADO, POSTOS OSTENSIVO DA PM EM TERMOS DE SEGURANÇA, SUPER RECOMENDO. HOJE, IRACEMA, E EM BREVE, JERI!!!	PRAIA DE IRACEMA - FORTALEZA (CE)
11-12-2022	JOSELLY	CAMARAGIBE, PE	DECEPCIONANTE	MUITOS PEDINTES ABORDANDO QU CAMINHA OU ESTÁ APRECIANDO A PAISAGEM. SENTI MUITO INCÔMODO COM ISSO! MUITA SUJEIRA E PIXAÇÕES NOS MUROS E MONUMENTOS.	PRAIA DE IRACEMA - FORTALEZA (CE)
29-11-2022	IVAN MERCADANTE BOSCARDIN	SÃO PAULO, SP	PRINCIPAL PRAIA DE FORTALEZA	A PRAIA DE IRACEMA É A PRINCIPAL PRAIA DE  FORTALEZA. SEU NOME VEM DA PERSONAGEM IRACEMA, QUE DÁ TÍTULO AO ROMANCE DE MESMO NOME, DO ESCRITOR CEARENSE JOSÉ DE ALENCAR. SEGUNDO OS MAPAS HOLANDESES DE 1649, FOI NESTE LOCAL QUE OS ÍNDIOS POTIGUARES ENCONTRAVAM-SE QUANDO MATIAS BECK E SUA FROTA CHEGARAM A FORTALEZA. ALÉM DA FORTE LIGAÇÃO DA PRAIA E DO BAIRRO COM A FAMOSA OBRA DA TRILOGIA INDIANISTA DO ROMANCE BRASILEIRO, O LOCAL TAMBÉM APRESENTA EM BOA PARTE DE SUAS RUAS NOMES QUE REPRESENTAM A TRADIÇÃO INDÍGENA, COMO RUA DOS TABAJARAS, CARIRIS E POTIGUARAS.	PRAIA DE IRACEMA - FORTALEZA (CE)
17-11-2022	LUCIO PANZA	RIO DE JANEIRO, RJ	LINDA PRAIA	NÃO É PRÓPRIA NEM IDEAL PARA BANHO MAS A PRAIA É ESTONTEANTE.	PRAIA DE IRACEMA - FORTALEZA (CE)
15-11-2022	NAMUETCHA S	20 CONTRIBUIÇÕES	SUSTENTABILIDADE 0	PRAIA COM CHEIRO DE ESGOTO MUITO FORTE. TANTO DURANTE O DIA, QUANTO DURANTE A NOITE. A AREIA CHEGA A DAR COCEIRA. NÃO É UM AMBIENTE QUE RECOMENDO.	PRAIA DE IRACEMA - FORTALEZA (CE)
14-11-2022	JANA P	1 CONTRIBUIÇÃO	AMARALTUR OBRIGADA POR MOMENTOS INCRÍVEIS	ESTÃO DE PARABÉNS O PESSOAL DA AMARALTUR ESPECIAL JU E MÁRCIA,  SUPER ATENCIOSAS, RECEPTIVAS, MARAVILHOSAS. O ROTEIRO MARAVILHOSO OBRIGADA MENINAS.	PRAIA DE IRACEMA - FORTALEZA (CE)
